Drug,Use,category,first trimester ,second trimester,third trimester,breast feeding  (caution concerning the infant to be made),Interaction
Escitalopram,Antidepressants,C,use with caution,use with caution,contraindicated,use with caution,"Contraindications:
Allergy or severe reactions to escitalopram, citalopram, or any ingredient in the medication should prevent its use and require immediate medical attention.
It should not be used in the last 3 months of pregnancy
The use of monoamine oxidase inhibitors (MAOIs) at the same time as escitalopram, or within 14 days before or after stopping escitalopram, is not recommended due to serious risks; changes to medication should be made under medical supervision.
Starting escitalopram while receiving intravenous methylene blue is contraindicated; this combination should be avoided and discussed with a healthcare provider.
Concurrent use of pimozide with escitalopram is not advised because of potential serious interactions; patients should inform their doctor if pimozide is currently being taken or planned.
Known prolonged QT interval or congenital long QT syndrome (heart rhythm disorders) are contraindications; any history of heart rhythm issues should be shared with the doctor before starting treatment.
Although use with linezolid is generally contraindicated, if the medications must be used together, close monitoring for signs of serotonin syndrome is necessary; symptoms like restlessness, confusion, rapid heartbeat, or fever should be reported promptly.
Use with cautions:
After bariatric surgery, changes in how the medication works may occur; symptoms should be carefully monitored to ensure continued effectiveness.
Symptoms related to heart problems, especially if there is a recent history of a heart attack or unstable heart disease, should be reported.
Signs of liver problems may appear, particularly in patients with liver impairment; caution and monitoring are advised.
Seizures or any unusual neurological symptoms should be watched for carefully in patients with a history of seizures or conditions that increase seizure risk.
Altered medication effects may happen in people who metabolize the drug more slowly; this might lead to increased side effects.
Older adults may experience stronger or longer-lasting effects from the medication and should be monitored closely.
Warning signs of toxicity from the additive propylene glycol (found in some formulations), such as severe weakness, seizures, or breathing problems, should prompt immediate medical attention.
Pregnancy status should be evaluated before starting treatment; any symptoms suggesting risks to the baby or complications in pregnancy should be discussed with a healthcare provider.
Newborns exposed to Escitalopram late in pregnancy may experience symptoms like breathing difficulties, constant crying, feeding problems, or trembling, which should be reported right away.
Any unusual bleeding, especially if blood thinners are being taken concurrently, should be brought to medical attention.
Signs of serious mental health changes, such as worsening depression or suicidal thoughts, should be communicated promptly.
Breastfeeding infants should be monitored for irritability, excessive sleepiness, feeding difficulties, or poor weight gain, and these symptoms should be discussed with a doctor.
contact your physician if any of these happened : 
Signs of mania or hypomania may appear, such as extreme excitement, overly energetic behavior, or rapid mood changes.
Unusual bleeding or bruising, including nosebleeds or gastrointestinal bleeding, especially if taken with blood thinners, should be monitored.
Bone fractures related to increased risk of falls or bone weakness might occur, particularly with long-term use.
Symptoms of low sodium in the blood (hyponatremia) such as headache, confusion, weakness, or seizures may develop, especially in older adults.
Eye problems such as severe eye pain, vision changes, redness, or swelling may indicate acute angle-closure glaucoma and require urgent attention.
Prolonged or irregular heart rhythms, including a condition called QT prolongation, which may cause dizziness, rapid heartbeat, fainting, or more serious heart problems.
Features of serotonin syndrome, which may include agitation, confusion, muscle stiffness, fast heartbeat, high fever, loss of consciousness, or seizures, especially if other serotonergic drugs are used together.
New or worsening suicidal thoughts or behaviors, particularly in children, adolescents, and young adults.
Withdrawal symptoms like dizziness, shaking, confusion, nausea, or mood changes may appear if the medication is stopped suddenly.
Severe allergic reactions such as rash, swelling of the face or throat, difficulty breathing, or sudden weakness.
Signs of serious liver problems like yellowing of skin or eyes, dark urine, or persistent fatigue.
Any seizure activity or sudden loss of consciousness should be immediately addressed."
Venlafaxine,Antidepressants,B2,use with caution,use with caution,contraindicated,use with caution,"Contraindications:
Allergy or severe reactions to venlafaxine or any ingredient in the medication should prevent its use and require immediate medical attention.
It should not be used in the last 3 months of pregnancy
Use of monoamine oxidase inhibitors (MAOIs) at the same time as venlafaxine or within 14 days after stopping an MAOI is not safe; medication changes should be done only under medical supervision.
Starting an MAOI within 7 days after stopping venlafaxine is contraindicated and requires close medical guidance.
Starting venlafaxine while receiving intravenous methylene blue is not recommended; this combination should be avoided and discussed with a healthcare provider.
Although use with linezolid is generally contraindicated, if the medications must be used together, careful monitoring for serotonin syndrome is necessary; symptoms such as restlessness, confusion, fast heartbeat, or fever should be reported without delay.
Use with cautions:
Monitoring for worsening symptoms is advised after bariatric surgery, as medication effects may vary and treatment adjustments might be needed.
Symptoms of heart problems or concerns should be reported, especially if a recent heart attack, unstable heart disease, stroke, or thyroid problems exist.
Signs of liver or kidney problems may occur, as medication levels can increase, and dose adjustments might be necessary.
New seizures or worsening seizure activity should be promptly reported, and the medication may need to be stopped if seizures develop.
Older adults should be especially cautious of dizziness or low blood pressure on standing (orthostatic hypotension), which may increase fall risk.
Pregnancy status should be checked before starting treatment, and any changes or concerns during pregnancy should be shared with a healthcare provider.
Newborns exposed to Venlafaxine late in pregnancy may show symptoms such as feeding difficulties, irritability, breathing problems, or seizures, which require medical attention.
Unusual bleeding or bruising may occur, especially if other medications affecting bleeding are taken concurrently.
Breastfeeding infants should be monitored for sedation or failure to gain adequate weight.
contact your physician if any of these happened : 
Symptoms of mania or hypomania may appear, such as very elevated mood, overactivity, or rapid mood swings.
Unusual bleeding or bruising, including gum bleeding, vaginal bleeding, or severe bruising, especially if other blood-thinning medicines are used.
Significant increases in blood pressure or signs of high blood pressure such as headache, dizziness, or chest pain.
Signs of liver problems such as yellowing of the skin or eyes, persistent nausea, dark urine, or abdominal pain.
Low sodium levels in the blood (hyponatremia) may develop, causing symptoms like headache, confusion, weakness, or seizures.
Severe eye pain, redness, vision changes, or swelling that may indicate acute angle-closure glaucoma, which needs urgent care.
Symptoms of serotonin syndrome, which can include agitation, confusion, rapid heart rate, muscle stiffness, high fever, seizures, or loss of consciousness.
New or worsening suicidal thoughts or behavior, especially in children, adolescents, and young adults.
Seizures or convulsions that develop during treatment.
Severe allergic reactions such as swelling of the face or throat, difficulty breathing, rash, or hives.
Withdrawal symptoms such as dizziness, shaking, confusion, nausea, irritability, or unusual behavior after stopping the medication abruptly.
Serious heart rhythm problems, including irregular heartbeat or fainting.
Respiratory problems like difficulty breathing or severe lung inflammation."
Duloxetine,Antidepressants,B3,use with caution,use with caution,use with caution,use with caution,"Contraindications:
Use with monoamine oxidase inhibitors (MAOIs) is contraindicated, both when taken together or within 14 days of stopping an MAOI, due to potential serious reactions; medication changes should be managed by a healthcare provider.
Starting an MAOI within 5 days after stopping duloxetine is not recommended and requires medical supervision.
Use is contraindicated during treatment with intravenous methylene blue; this combination should be avoided and discussed with a doctor.
Allergy or hypersensitivity to duloxetine or any of its ingredients should prevent use and prompt medical consultation.
Use is contraindicated in patients with severe liver problems; symptoms such as jaundice, dark urine, or unusual fatigue should prompt immediate medical attention.
Severe kidney impairment (e.g., creatinine clearance below 30 mL/min) or end-stage renal disease is a contraindication; relevant symptoms require evaluation.
Uncontrolled narrow-angle glaucoma prohibits use; any eye pain, vision changes, or redness should be urgently reported.
Concomitant use with thioridazine or potent CYP1A2 inhibitors is contraindicated due to risk of serious interactions and side effects; medication regimens should be closely reviewed by a healthcare provider.
Use with cautions:
Dizziness or fainting due to low blood pressure, especially during the first week or after dose increases, should be monitored carefully.
Close monitoring is needed after bariatric surgery as medication effects may change; worsening symptoms should be reported.
Symptoms related to heart or blood vessel problems, such as chest pain or stroke, should be reported, especially in patients with preexisting cardiovascular or cerebrovascular conditions.
Signs of liver problems, including nausea, vomiting, abdominal pain, or unusual tiredness, may occur and should be reported promptly.
Blood pressure increases, including dangerously high blood pressure (hypertensive crisis), may happen and require regular blood pressure checks.
Seizures or unusual neurological symptoms should be reported immediately.
Falls or injuries from dizziness or low blood pressure should be watched for, especially in older adults or those taking higher doses.
Pregnancy status should be evaluated prior to treatment, and any concerns or symptoms suggesting effects on pregnancy or newborns should be discussed with a healthcare provider.
Newborns exposed to Duloxetine late in pregnancy may develop symptoms such as difficulty feeding, irritability, breathing problems, or seizures that require urgent care.
Unusual bleeding or bruising, including postpartum hemorrhage, should be reported, particularly if other medications affecting bleeding are being used.
Infants breastfed by mothers taking Duloxetine should be monitored for excessive sleepiness, feeding difficulties, or poor weight gain.
contact your physician if any of these happened : 
Signs of mania or hypomania, such as extreme excitement, racing thoughts, or unusually elevated mood, may be noticed.
Unusual bleeding or easy bruising, including gum bleeding or heavy menstrual bleeding, should be reported promptly.
Bone fractures may occur, especially with long-term use or increased fall risk.
Symptoms of liver problems, such as yellowing of the skin or eyes, dark urine, persistent nausea, or abdominal pain, may develop.
Low sodium levels in the blood (hyponatremia), which can cause headache, confusion, weakness, or seizures, may appear, particularly in older adults.
Severe eye problems, including eye pain, redness, vision changes, or swelling, which may indicate acute angle-closure glaucoma, require urgent evaluation.
Symptoms of serotonin syndrome, including agitation, confusion, rapid heart rate, muscle stiffness, tremors, high fever, or seizures, may be experienced, especially if other serotonergic drugs are used.
New or worsening suicidal thoughts or behaviors, particularly in children, adolescents, and young adults, should be immediately communicated.
Withdrawal symptoms such as dizziness, shaking, confusion, nausea, anxiety, irritability, or unusual behavior may occur after stopping the medication abruptly and need attention.
Severe allergic reactions like swelling of the face or throat, difficulty breathing, rash, or hives may develop and require urgent care.
Seizures or convulsions can happen, especially after abrupt discontinuation, and should be urgently addressed."
Amitriptyline,Antidepressants,C,use with caution,use with caution,use with caution,use with caution,"Contraindications:
Allergy or severe reactions to amitriptyline or any of its ingredients should prevent use and require immediate medical attention.
Use during the acute recovery phase after a heart attack (myocardial infarction) is contraindicated; any heart-related symptoms such as chest pain or irregular heartbeat should be promptly reported.
Co-use with monoamine oxidase inhibitors (MAOIs), or within 14 days of stopping MAOIs, is not safe and should be avoided under medical supervision.
Use with cisapride is contraindicated due to risk of serious heart rhythm problems; informing the doctor about all current medications is important.
Severe liver impairment is a contraindication; symptoms such as yellowing of the skin or eyes, dark urine, or unusual fatigue should prompt urgent medical evaluation.
Acute heart failure is a contraindication; signs of worsening heart function like swelling, breathlessness, or extreme fatigue should be reported immediately.
Use with cautions:
A change to mania or hypomania might be triggered, especially in patients with bipolar disorder; this should be monitored carefully.
The heart may be affected if there is a history of cardiovascular disease (such as heart attack, stroke, or abnormal heart rhythms), so caution is advised.
Worsening of existing muscle weakness might occur in patients with myasthenia gravis.
Conditions affecting the eyes (such as increased pressure or narrow angle glaucoma) could be aggravated.
Seizures risk might be increased, particularly in those with a history of seizures, brain injury, or with medications lowering seizure threshold.
Difficulty in urination may worsen in patients with urinary retention.
Liver or kidney problems can affect how the medication is processed, with increased levels possible, necessitating cautious use.
Surgery plans should be discussed with a healthcare provider, as the medication might need to be stopped beforehand to avoid interactions or heart rhythm issues.
Severe sedation and poor feeding may be observed in breastfed infants, requiring close monitoring and possible medication or breastfeeding adjustments.
In pregnancy, potential risks to the baby’s development and increased risk of gestational diabetes have been reported, so pregnancy status should be evaluated and monitored during treatment.
contact your physician if any of these happened : 
Changes in heart rhythm or electrical activity, including irregular heartbeats, slow or fast heart rate, and heart block, may be observed.
Significant dizziness, fainting, or sudden drop in blood pressure upon standing (orthostatic hypotension) which might lead to falls could occur.
Symptoms of serotonin syndrome might develop, such as confusion, agitation, rapid heartbeat, muscle stiffness, tremors, or high fever, especially when taken with other serotonergic medicines.
Signs of severe allergic reactions like swelling of the tongue, rash, or difficulty breathing should prompt immediate medical attention.
Severe liver problems may be indicated by yellowing of the skin or eyes (jaundice), dark urine, persistent nausea, or abdominal pain.
Sudden and severe eye pain, changes in vision, redness, or swelling might signal acute angle-closure glaucoma, which requires urgent care.
Unusual bleeding or bruising, especially if taking blood thinners or other medications increasing bleeding risk, may be noticed.
Severe mental health changes such as new or worsening suicidal thoughts, confusion, hallucinations, or extreme mood swings should be reported promptly.
Signs of seizure or loss of consciousness might occur and need immediate evaluation.
Withdrawal symptoms (such as dizziness, shaking, confusion, or mood changes) may appear if the medication is stopped abruptly."
Heparin,Anticoagulants,C,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"Contraindications:
Known allergy or sensitivity to Heparin or any ingredient in the medication, unless there is a life-threatening situation where no alternatives are available.
Severe low platelet counts (thrombocytopenia), which increase bleeding risk.
History of low platelet counts caused by Heparin (heparin-induced thrombocytopenia), especially if it was accompanied by blood clots.
Active uncontrolled bleeding, unless it is part of a specific blood clotting disorder called disseminated intravascular coagulation (DIC).
When regular blood clotting tests cannot be performed as needed, full-dose Heparin should not be used.
Use of certain Heparin products containing benzyl alcohol is not recommended in newborns, infants, pregnant, or breastfeeding patients according to some manufacturers.
Use with cautions:
Signs of allergic reactions such as fever, chills, rash, difficulty breathing, or swelling should be reported promptly.
If symptoms of heparin resistance occur, such as the medication not working despite high doses, this should be communicated for further evaluation.
Unexplained bleeding or bruising, which can be severe, should be watched for and reported immediately.
Any sudden or severe drops in platelet counts (heparin-induced thrombocytopenia) should be monitored and followed up as this may require alternative treatment.
If symptoms of “gasping syndrome” such as breathing difficulties, seizures, or severe weakness occur in newborns or infants exposed to benzyl alcohol in the medication, urgent medical attention should be sought.
Careful verification of the medication concentration is crucial before use to avoid dosing errors that can lead to severe bleeding or overdose, especially in children.
Older adults may have an increased risk of bleeding and bone thinning (osteoporosis) with prolonged use and should be monitored closely.
Pregnant patients require close monitoring as changes in the condition and medication effects might occur; any unusual symptoms should be reported.
Symptoms that could indicate blood clot problems or excessive bleeding, such as swelling, pain, redness, or unusual bruising, should be promptly addressed.
contact your physician if any of these happened : 
Major bleeding may occur at any site and can be life-threatening, such as bleeding inside the brain or severe bleeding from surgery sites.
Significant drops in platelet counts (thrombocytopenia), including a serious condition called heparin-induced thrombocytopenia (HIT), which can cause dangerous blood clots and requires immediate medical attention.
Symptoms of allergic reactions, including anaphylactic shock, severe rash, or skin necrosis at the injection site, should be reported promptly.
Bone weakening or osteoporosis may develop with long-term use, increasing the risk of fractures.
Injection site reactions, such as severe pain, redness, swelling, skin ulcers, or tissue death, should be communicated to a healthcare provider.
Signs of heart complications like cardiac tamponade (pressure on the heart), unusual chest pain, or circulation problems should be reported.
Symptoms of hormonal imbalances, such as hyperkalemia (high potassium) or adrenal hemorrhage, should be evaluated.
Unexplained prolonged or severe bruising, hematomas, or bleeding in organs (such as ovaries or adrenal glands) should prompt medical evaluation."
Enoxaparin,Anticoagulants,C,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"Contraindications:
Known allergy or sensitivity to enoxaparin, heparin, pork products, or any ingredients in the medication, including the preservative benzyl alcohol in certain vials.
A history of immune-mediated heparin-induced thrombocytopenia (HIT) within the past 100 days or if antibodies causing HIT are still present.
Active major bleeding or bleeding that cannot be controlled.
In newborns or premature babies, use of multiple-dose vials is not recommended.
Active bacterial infection of the heart (acute or subacute bacterial endocarditis).
Major clotting disorders that increase bleeding risk.
Active ulcers in the stomach or intestines (gastric or duodenal ulcers).
Recent or ongoing bleeding in the brain (hemorrhagic stroke), except when systemic blood clots are present.
Severe high blood pressure that is not controlled.
Conditions affecting the eyes related to diabetes or bleeding in the retina.
Injuries or surgeries involving the brain, spinal cord, eyes, or ears.
Use with cautions:
Signs of bleeding or hematoma formation, especially after procedures involving blood vessel puncture, should be closely observed and reported.
Symptoms of high potassium levels (hyperkalemia), such as muscle weakness, irregular heartbeat, or fatigue, may rarely occur and should be monitored, particularly in patients with kidney problems or those taking potassium supplements or potassium-sparing medications.
Low platelet counts or clotting problems (thrombocytopenia) require careful monitoring, especially in patients with a history of heparin-induced thrombocytopenia (HIT).
Patients with kidney impairment should be monitored closely, and dosage adjustments may be needed to prevent complications.
Older adults, especially those with low body weight, should be monitored carefully for increased risk of bleeding and other serious side effects.
Careful timing of dosing around procedures and catheter placement/removal is important to reduce the risk of bleeding, and any unusual symptoms after such procedures should be reported.
Use of formulations containing benzyl alcohol should be avoided or used with caution in pregnant women and newborns due to the risk of severe toxicity (""gasping syndrome"").
For patients undergoing assisted reproduction therapy or pregnant patients with additional risk factors, dose adjustments and close monitoring are essential.
Breastfeeding mothers using Enoxaparin should discuss the benefits and risks with their doctor, and any concerns about the infant’s health should be reported.
contact your physician if any of these happened : 
Major bleeding may occur, which can be severe or life-threatening, and may happen at any time during treatment.
Signs of spinal or epidural hematoma, such as severe back pain, weakness, numbness, or loss of bladder or bowel control, especially after spinal procedures or neuraxial anesthesia, should be reported immediately.
Low platelet counts (thrombocytopenia), including heparin-induced thrombocytopenia (HIT), which may cause serious blood clots, require prompt medical evaluation.
Symptoms of allergic reactions, including rash, swelling, difficulty breathing, or anaphylactic shock, should be addressed immediately.
Signs of osteoporosis or bone weakening may develop with long-term use and should be monitored, especially in patients under prolonged treatment.
Injection site reactions such as severe pain, swelling, skin necrosis, or ulcers should be reported.
Symptoms of high potassium levels (hyperkalemia), such as muscle weakness or irregular heartbeat, may rarely occur and should be monitored.
Confusion or unusual mental changes should prompt medical consultation.
Other serious reactions such as anemia, thrombosis, skin necrosis, or severe hypersensitivity may develop and require immediate attention."
Warfarin,Anticoagulants,D,contraindicated,contraindicated,contraindicated,use with caution,"Contraindications:
Allergy or sensitivity to warfarin or any ingredient in it should be reported.
Any active bleeding, such as from the stomach, lungs, or urinary tract, requires medical attention.
Bleeding in the brain or presence of brain aneurysm must be evaluated by a doctor.
Recent or planned surgery involving the eyes or brain should be discussed with a healthcare provider.
Major anesthesia or trauma causing large open wounds needs medical oversight.
Blood disorders or abnormal blood cell conditions must be reported.
Severe high blood pressure should be monitored by a doctor.
Heart conditions like inflammation around the heart or infection of the heart lining require medical consultation.
If the patient may not follow treatment instructions properly, doctor contact is necessary.
Pregnancy complications such as eclampsia, preeclampsia, or risk of miscarriage need medical supervision.
Pregnancy itself is a contraindication except for specific cases with mechanical heart valves, which must be managed by a specialist.
Use with cautions:
Warfarin use after bariatric surgery should be avoided if possible due to a high risk of bleeding; close monitoring of INR is needed for up to one year or with nutritional changes.
Any prolonged dietary insufficiency, especially vitamin K deficiency, requires caution and medical advice.
Warfarin should not be used alone initially if heparin-induced thrombocytopenia is present, as it may worsen clotting problems; doctor contact is essential.
Liver impairment may increase sensitivity to warfarin, necessitating careful monitoring.
Infections or antibiotic use may change warfarin effects, so medical supervision is advised.
Renal (kidney) impairment increases bleeding risk and requires frequent INR checks.
Thyroid disease may alter warfarin response, requiring dose adjustments under medical guidance.
Older adults are at higher risk for bleeding and require careful evaluation before long-term warfarin therapy.
Genetic differences affecting warfarin sensitivity mean dosing might need adjustment after testing and doctor consultation.
Before elective surgery, warfarin may need to be paused about 5 days prior and restarted after surgery with medical advice on bleeding and clotting risks.
Patients must be able to comply with regular blood monitoring to safely use warfarin.
Warfarin use in neonates and infants under 4 months is generally avoided due to high bleeding risk and dosing challenges; doctor management is necessary.
Women who may become pregnant should use effective contraception during warfarin therapy and for 1 month after stopping.
Breastfeeding mothers using warfarin should have their infants monitored for bleeding or bruising despite low risk of warfarin transfer in milk.
contact your physician if any of these happened : 
Signs of cholesterol or atheromatous embolism (such as sudden pain in the legs, skin rash, purple discoloration of toes, abdominal or back pain, blood in urine, or sudden neurological symptoms) should be reported immediately, as these may indicate serious blood vessel blockage.
Symptoms of calciphylaxis, including painful skin ulcers, purplish skin patches, blistering, or tissue death, require urgent medical evaluation.
Major or unexpected bleeding, including unusual bruising, bleeding gums, blood in vomit or stool, severe headache, or prolonged bleeding from injuries, must be addressed promptly by a healthcare provider.
Signs of skin necrosis or gangrene, such as painful purple skin lesions, blisters, or skin that looks dead or blackened, need immediate medical attention.
Sudden intense lower limb pain or other symptoms of vascular blockage (e.g., sudden worsening of blood flow) should be urgently evaluated by a doctor.
Any unexpected severe abdominal pain, flank pain, or unexplained hypertension occurring during warfarin use should lead to contacting a healthcare professional.
Symptoms suggesting acute kidney injury or sudden changes in urine output require prompt consultation.
 Allergic reactions such as severe rash, itching, swelling, difficulty breathing, or anaphylaxis need immediate emergency care."
Aspirin (low dose),Anticoagulants,C,use with caution,use with caution,use with caution,use with caution,"Contraindications:
Allergy or sensitivity to NSAIDs, including aspirin, should be reported to a doctor.
If asthma, nasal allergies, or nasal polyps are present, medical advice should be sought before using aspirin.
In children or teenagers with viral infections, especially with or without fever.
Use of aspirin within 24 hours of thrombolytic treatment for stroke is contraindicated.
Use with cautions:
Use of aspirin after bariatric surgery requires careful monitoring for symptoms of increased side effects or toxicity, and medical advice should be sought if symptoms worsen.
Bleeding disorders and dehydration require caution, and a healthcare provider should be consulted before using aspirin.
Heavy alcohol consumption (more than 3 drinks per day) raises bleeding risks; medical advice should be contacted if alcohol use is high.
In patients with active peptic ulcers or erosive gastritis.
Severe liver failure is a contraindication, and use in hepatic impairment should be avoided or discussed with a doctor.
High doses of aspirin in patients with kidney impairment need medical supervision due to increased risk of adverse effects.
Patients with a recent gastrointestinal bleed must consult a healthcare provider before continuing or stopping aspirin, especially if used for cardiovascular prevention.
Children or teenagers recovering from chickenpox or flu-like illnesses  and behavioral changes, nausea, or vomiting occur, as these may signal serious complications.
Surgical patients should discuss aspirin use with their cardiologist or surgeon, as timing of discontinuation and resumption around surgery depends on individual risks.
Hypersensitivity reactions potentially related to excipients in aspirin formulations require medical attention if symptoms develop.
Older adults are at increased risk for ulcers, bleeding, confusion, and falls with aspirin use.
Pregnant women should avoid aspirin use beyond 20 weeks gestation unless prescribed for specific conditions.
Breastfeeding patients using high-dose aspirin must consult their healthcare provider due to potential risks to the infant; low-dose aspirin may be considered with monitoring.
contact your physician if any of these happened : 
Any severe stomach pain, persistent indigestion, or signs of gastrointestinal bleeding such as black or bloody stools or vomiting blood should be reported to a doctor immediately.
Sudden allergic reactions like swelling of the face, lips, or throat, difficulty breathing, hives, or widespread rash require emergency medical attention.
New or worsened breathing problems including asthma attacks or severe wheezing should prompt immediate medical consultation.
Signs of unusual bleeding or bruising, prolonged bleeding from cuts, or bleeding gums need prompt healthcare evaluation.
Symptoms such as confusion, severe headache, dizziness, seizures, or sudden weakness should be urgently reported to a healthcare provider.
Sudden swelling, especially of the throat or larynx, difficulty swallowing, or respiratory distress calls for immediate doctor contact.
Signs of liver problems like yellowing of the skin or eyes, dark urine, or persistent nausea should be evaluated by a healthcare professional.
Any unexplained muscle weakness, pain, or dark urine may indicate serious muscle damage and should be reported.
Symptoms pointing to kidney problems, such as decreased urine output, swelling, or unusual fatigue, require medical advice.
Behavioral changes, nausea, and vomiting in children or teenagers taking aspirin, particularly with viral illness, should prompt immediate doctor contact due to the risk of Reye syndrome."
Acetaminophen,Pain/fever relief,A,use with caution,use with caution,use with caution,safe but used with caution,"Contraindications:
Allergy or sensitivity to acetaminophen or any ingredient in the medication.
Severe liver problems or active, serious liver disease require medical evaluation before using acetaminophen.
 intravenous formulations which are contraindicated in severe liver impairment.
Use of acetaminophen together with other medications containing acetaminophen should be avoided.
Use with cautions:
After bariatric surgery, monitoring for effectiveness and side effects is important.
In patients with G6PD deficiency, caution is advised.
Liver problems or active liver disease require careful use of acetaminophen
Severe dehydration or low blood volume calls.
Use of acetaminophen products containing aspartame should be avoided or used with caution in patients with phenylketonuria.
Products containing benzyl alcohol or related compounds may cause serious allergic or toxic reactions in neonates.
Dosage forms containing polysorbate 80 or propylene glycol require caution, especially in neonates and patients with certain sensitivities.
Acetaminophen dose should not exceed 4 grams per day in adults to avoid toxicity.
If fever lasts longer than 3 days, symptoms worsen, or redness and swelling develop in the painful area.
In children and adolescents, if sore throat is severe, persists over 2 days, or is accompanied by fever, rash, headache, nausea, or vomiting.
Older adults with risk factors such as malnutrition, low body weight, or heavy alcohol use should be monitored for liver injury.
contact your physician if any of these happened : 
Signs of liver damage such as yellowing of the skin or eyes (jaundice), severe nausea, vomiting, abdominal pain, unusual tiredness, or confusion should be reported to a doctor immediately.
Any suspected overdose of acetaminophen, including accidental use of multiple acetaminophen-containing products, requires urgent medical attention.
Symptoms like dark urine, pale stools, or bleeding tendencies may indicate serious liver injury and should prompt immediate medical consultation.
Allergic reactions, including sudden swelling, rash, difficulty breathing, or anaphylaxis, require emergency medical care.
Severe skin reactions such as widespread rash, blistering, or peeling (including Stevens-Johnson syndrome or toxic epidermal necrolysis) must be reported to a healthcare provider promptly.
Unexplained persistent nausea, vomiting, or new neurological symptoms such as agitation, confusion, or seizures should prompt immediate doctor contact.
In infants and children, symptoms such as difficulty breathing, unusual lethargy, or abnormal breath sounds need urgent medical evaluation"
Ibuprofen,NSAIDS,C,contraindicated,use with caution,contraindicated,contraindicated,"conraindications: 
An allergy to ibuprofen, aspirin, or other pain/fever medicines (NSAIDs) has ever occurred.
Serious allergic reactions (such as swelling, rash, trouble breathing, or severe skin reactions) have been experienced in the past.
Asthma or breathing problems are made worse by aspirin or NSAIDs.
Recent heart surgery (such as coronary artery bypass surgery) has been done.
There is bleeding in the brain, stomach, or intestines.
There are active stomach or intestinal ulcers, or inflammatory bowel disease (such as Crohn’s disease or ulcerative colitis).
Heart failure is not well controlled.
There are moderate to severe kidney or liver problems.
Potassium levels in the blood are high.
Pregnancy is in the last 3 months (third trimester).
Breastfeeding is taking place.
The patient is under 18 years old for IV form or under 12 years old for oral form.
Lupus (systemic lupus erythematosus) is present:A disease where the immune system attacks the body’s own tissues and organs.
use with caution:
Aseptic meningitis: Rarely, naproxen may cause inflammation of the lining around the brain and spinal cord (not from infection). This risk is higher in people with lupus (an immune disease) or other connective tissue diseases.
Asthma: Ibuprofen must not be used in people whose asthma is triggered by aspirin or similar medicines, as it can cause severe, sometimes life-threatening breathing problems. Extra caution is needed in people with other types of asthma.
After bariatric (weight loss) surgery: Long-term use of regular NSAIDs (like ibuprofen) should be avoided because they can cause ulcers or holes in the stomach or intestine. Short-term use of certain alternatives (like celecoxib or IV ketorolac) may be safer after surgery.
Liver problems: Ibuprofen should be used carefully if the liver is not working well.
Kidney problems: Ibuprofen should be used carefully if the kidneys are not working well. Ibuprofen lysine (NeoProfen) must not be used in premature babies with serious kidney problems.
contact your doctor if any of these happened:
Serious heart problems, including heart attack, stroke, chest pain, or worsening of heart failure, may be experienced, especially with higher doses or long-term use.
New or worsening high blood pressure may develop.
Serious stomach or intestinal issues such as bleeding, ulcers, inflammation, or holes in the digestive tract may occur, sometimes without warning.
Severe allergic reactions including swelling of the face or throat (angioedema), hives, breathing difficulties, or anaphylaxis may happen.
Severe liver problems, including liver failure or signs such as jaundice (yellowing of the skin or eyes), may be experienced.
Blood problems such as unusual bruising or bleeding, severe anemia, or low blood cell counts (including agranulocytosis or aplastic anemia) may occur.
Serious kidney problems, including sudden kidney failure or inflammation of the kidneys, may develop, especially in people with preexisting kidney issues or dehydration.
Rare but serious skin reactions like Stevens-Johnson syndrome or toxic epidermal necrolysis, with widespread rash, skin peeling, and blistering, may be experienced.
Severe breathing problems, including asthma attacks or pulmonary hypertension (high blood pressure in the lungs), may occur.
Neurological problems such as confusion, seizures, or stroke symptoms may develop.
Severe bleeding or prolonged bleeding time may be noticed, especially if taking other blood-thinning medications."
